线加速度,,,角加速度,,,水平坐标,,前进摇杆,左右摇杆,,角度,,
1,2,3,4,5,6,7,8,9,10,,12,13,14
FC_ACC_X,FC_ACC_Y,FC_ACC_Z,FC_GYR_X,FC_GYR_Y,FC_GYR_Z,FC_MAG_X,FC_MAG_Y,FC_MAG_Z,FC_ALT_BAR,,FC_ATT_ROL,FC_ATT_PIT,FC_ATT_YAW
33,-12,973,3,0,0,0,0,0,0,,0,0,0
33,-12,973,3,0,0,0,0,0,0,,-0.300000012,3.269999981,-58.90999985
10,0,973,4,0,0,0,0,0,0,,-0.300000012,3.269999981,-58.90999985
10,0,973,4,0,0,-182,-1338,-57,0,,-0.300000012,3.269999981,-58.90999985
10,0,973,4,0,0,-182,-1338,-57,0,,-0.270000011,3.25999999,-58.58000183
15,9,976,5,-1,0,-182,-1338,-57,0,,-0.270000011,3.25999999,-58.58000183
15,9,976,5,-1,0,-182,-1338,-57,0,,-0.239999995,3.25999999,-58.45000076
29,3,972,3,0,0,-182,-1338,-57,0,,-0.239999995,3.25999999,-58.45000076
29,3,972,3,0,0,-183,-1338,-57,0,,-0.239999995,3.25999999,-58.45000076
29,3,972,3,0,0,-183,-1338,-57,0,,-0.200000003,3.25,-58.54999924
29,3,972,3,0,0,-183,-1338,-57,0,,-0.200000003,3.25,-58.54999924
26,3,971,3,-1,0,-183,-1338,-57,0,,-0.200000003,3.25,-58.54999924
26,3,971,3,-1,0,-183,-1338,-57,0,,-0.170000002,3.24000001,-58.11000061
24,7,981,3,-1,0,-183,-1338,-57,0,,-0.170000002,3.24000001,-58.11000061
24,7,981,3,-1,0,-183,-1338,-57,0,,-0.170000002,3.24000001,-58.11000061
24,7,981,3,-1,0,-183,-1338,-57,0,,-0.129999995,3.24000001,-57.34999847
33,13,967,3,-1,0,-183,-1338,-57,0,,-0.129999995,3.24000001,-57.34999847
33,13,967,3,-1,0,-183,-1338,-57,0,,-0.209999993,3.24000001,-57.06999969
43,20,959,2,-2,0,-183,-1338,-57,0,,-0.209999993,3.24000001,-57.06999969
43,20,959,2,-2,0,-183,-1338,-57,0,,-0.209999993,3.24000001,-57.06999969
43,20,959,2,-2,0,-183,-1338,-57,0,,-0.180000007,3.25,-57.56000137
33,33,977,2,-2,1,-183,-1338,-57,0,,-0.180000007,3.25,-57.56000137
33,33,977,2,-2,1,-183,-1338,-57,0,,-0.140000001,3.25,-58
33,33,977,2,-2,1,-183,-1338,-57,0,,-0.140000001,3.25,-58
19,34,972,3,-2,0,-183,-1338,-57,0,,-0.140000001,3.25,-58
19,34,972,3,-2,0,-183,-1338,-57,0,,-0.140000001,3.25,-58
19,34,972,3,-2,0,-183,-1338,-57,0,,-0.109999999,3.25999999,-58.43000031
26,22,963,2,-2,1,-183,-1338,-57,0,,-0.109999999,3.25999999,-58.43000031
26,22,963,2,-2,1,-183,-1338,-57,0,,-0.090000004,3.269999981,-59
48,21,968,1,-2,1,-183,-1338,-57,0,,-0.090000004,3.269999981,-59
48,21,968,1,-2,1,-183,-1338,-57,0,,-0.090000004,3.269999981,-59
48,21,968,1,-2,1,-183,-1338,-57,0,,-0.059999999,3.279999971,-60.15999985
28,28,968,1,-2,1,-183,-1338,-57,0,,-0.059999999,3.279999971,-60.15999985
28,28,968,1,-2,1,-183,-1338,-57,0,,-0.039999999,3.289999962,-60.56000137
23,35,957,1,-3,1,-183,-1338,-57,0,,-0.039999999,3.289999962,-60.56000137
23,35,957,1,-3,1,-183,-1338,-57,0,,-0.039999999,3.289999962,-60.56000137
23,35,957,1,-3,1,-183,-1338,-57,0,,-0.02,3.309999943,-60.27000046
23,35,957,1,-3,1,-183,-1338,-57,0,,-0.02,3.309999943,-60.27000046
23,35,957,1,-3,1,-183,-1338,-57,0,,-0.02,3.309999943,-60.27000046
48,32,969,0,-3,1,-183,-1338,-57,0,,-0.02,3.309999943,-60.27000046
48,32,969,0,-3,1,-183,-1338,-57,0,,0,3.319999933,-59.91999817
50,42,969,0,-2,1,-183,-1338,-57,0,,0,3.319999933,-59.91999817
50,42,969,0,-2,1,-183,-1338,-57,0,,0,3.319999933,-59.91999817
50,42,969,0,-2,1,-183,-1338,-57,0,,0,3.339999914,-59.52999878
22,30,962,0,-3,2,-183,-1338,-57,0,,0,3.339999914,-59.52999878
22,30,962,0,-3,2,-183,-1338,-57,0,,0,3.359999895,-59.31999969
37,20,966,0,-2,2,-183,-1338,-57,0,,0,3.359999895,-59.31999969
37,20,966,0,-2,2,-183,-1338,-57,0,,0,3.359999895,-59.31999969
37,20,966,0,-2,2,-183,-1338,-57,0,,0.01,3.380000114,-59.29999924
67,10,972,0,-2,1,-183,-1338,-57,0,,0.01,3.380000114,-59.29999924
67,10,972,0,-2,1,-183,-1338,-57,0,,0.01,3.400000095,-59.18000031
67,10,972,0,-2,1,-183,-1338,-57,0,,0.01,3.400000095,-59.18000031
40,9,964,-1,-2,1,-183,-1338,-57,0,,0.01,3.400000095,-59.18000031
40,9,964,-1,-2,1,-183,-1338,-57,0,,0.01,3.400000095,-59.18000031
40,9,964,-1,-2,1,-183,-1338,-57,0,,0.02,3.420000076,-58.93000031
21,11,963,0,-3,1,-183,-1338,-57,0,,0.02,3.420000076,-58.93000031
21,11,963,0,-3,1,-183,-1338,-57,0,,0.02,3.440000057,-58.77000046
48,14,978,-1,-3,1,-183,-1338,-57,0,,0.02,3.440000057,-58.77000046
48,14,978,-1,-3,1,-183,-1338,-57,0,,0.02,3.440000057,-58.77000046
48,14,978,-1,-3,1,-183,-1338,-57,0,,0.01,3.460000038,-58.70999908
75,13,975,-1,-2,1,-183,-1338,-57,0,,0.01,3.460000038,-58.70999908
75,13,975,-1,-2,1,-183,-1338,-57,0,,0.01,3.480000019,-58.75
32,18,959,-2,-2,2,-183,-1338,-57,0,,0.01,3.480000019,-58.75
32,18,959,-2,-2,2,-183,-1339,-57,0,,0.01,3.480000019,-58.75
32,18,959,-2,-2,2,-183,-1339,-57,0,,0,3.5,-58.93000031
32,18,959,-2,-2,2,-183,-1339,-57,0,,0,3.5,-58.93000031
28,16,968,-2,-3,2,-183,-1339,-57,0,,0,3.5,-58.93000031
28,16,968,-2,-3,2,-183,-1339,-57,0,,0,3.519999981,-58.77999878
72,20,986,-2,-2,1,-183,-1339,-57,0,,0,3.519999981,-58.77999878
72,20,986,-2,-2,1,-183,-1339,-57,0,,0,3.519999981,-58.77999878
72,20,986,-2,-2,1,-183,-1339,-57,0,,-0.01,3.539999962,-58.40999985
69,13,968,-3,0,2,-183,-1339,-57,0,,-0.01,3.539999962,-58.40999985
69,13,968,-3,0,2,-183,-1339,-57,0,,-0.02,3.549999952,-58.40999985
10,11,956,-3,-2,2,-183,-1339,-57,0,,-0.02,3.549999952,-58.40999985
10,11,956,-3,-2,2,-183,-1339,-57,0,,-0.02,3.549999952,-58.40999985
10,11,956,-3,-2,2,-183,-1339,-57,0,,-0.039999999,3.569999933,-58.81999969
65,7,1000,-3,-1,2,-183,-1339,-57,0,,-0.039999999,3.569999933,-58.81999969
65,7,1000,-3,-1,2,-183,-1339,-57,0,,-0.07,3.569999933,-58.95999908
65,7,1000,-3,-1,2,-183,-1339,-57,0,,-0.07,3.569999933,-58.95999908
96,2,980,-4,0,2,-183,-1339,-57,0,,-0.07,3.569999933,-58.95999908
96,2,980,-4,0,2,-183,-1339,-57,0,,-0.07,3.569999933,-58.95999908
96,2,980,-4,0,2,-183,-1339,-57,0,,-0.100000001,3.579999924,-58.86000061
24,-1,950,-3,0,2,-183,-1339,-57,0,,-0.100000001,3.579999924,-58.86000061
24,-1,950,-3,0,2,-183,-1339,-57,0,,-0.119999997,3.589999914,-58.61999893
39,0,993,-4,0,2,-183,-1339,-57,0,,-0.119999997,3.589999914,-58.61999893
39,0,993,-4,0,2,-183,-1339,-57,0,,-0.119999997,3.589999914,-58.61999893
39,0,993,-4,0,2,-183,-1339,-57,0,,-0.159999996,3.589999914,-58.27000046
96,-7,1007,-4,0,2,-183,-1339,-57,0,,-0.159999996,3.589999914,-58.27000046
