xa,ya,za,row,pitch,yaw
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-1.36E-20,-7.60E-21,3.84E-20,-2.84E-18,-1.82E-19,1.63E-20
-4.21E-20,-2.36E-20,1.19E-19,-8.81E-18,-5.65E-19,5.07E-20
-7.93E-20,-4.44E-20,2.24E-19,-1.66E-17,-1.06E-18,9.54E-20
-1.29E-19,-7.23E-20,3.65E-19,-2.70E-17,-1.73E-18,1.55E-19
-1.84E-19,-1.03E-19,5.20E-19,-3.84E-17,-2.46E-18,2.21E-19
-2.43E-19,-1.36E-19,6.87E-19,-5.08E-17,-3.25E-18,2.92E-19
-3.14E-19,-1.76E-19,8.88E-19,-6.57E-17,-4.21E-18,3.78E-19
-3.96E-19,-2.22E-19,1.12E-18,-8.28E-17,-5.31E-18,4.76E-19
6.01E-19,3.11E-19,-1.53E-18,2.91E-16,1.87E-17,-1.65E-18
2.79E-18,1.48E-18,-7.35E-18,1.09E-15,7.03E-17,-6.23E-18
5.66E-18,3.02E-18,-1.50E-17,2.15E-15,1.38E-16,-1.22E-17
9.52E-18,5.09E-18,-2.53E-17,3.56E-15,2.28E-16,-2.03E-17
1.38E-17,7.36E-18,-3.66E-17,5.11E-15,3.28E-16,-2.91E-17
1.83E-17,9.82E-18,-4.88E-17,6.79E-15,4.36E-16,-3.87E-17
2.39E-17,1.28E-17,-6.36E-17,8.81E-15,5.65E-16,-5.02E-17
3.03E-17,1.62E-17,-8.06E-17,1.11E-14,7.15E-16,-6.35E-17
4.55E-17,2.56E-17,-1.10E-16,1.52E-14,9.77E-16,-8.60E-17
7.06E-17,4.16E-17,-1.53E-16,2.12E-14,1.36E-15,-1.19E-16
1.02E-16,6.15E-17,-2.04E-16,2.84E-14,1.83E-15,-1.58E-16
1.41E-16,8.71E-17,-2.68E-16,3.73E-14,2.40E-15,-2.07E-16
1.85E-16,1.15E-16,-3.38E-16,4.71E-14,3.03E-15,-2.60E-16
2.32E-16,1.46E-16,-4.14E-16,5.78E-14,3.73E-15,-3.19E-16
2.88E-16,1.82E-16,-5.02E-16,7.02E-14,4.53E-15,-3.86E-16
3.51E-16,2.23E-16,-6.02E-16,8.42E-14,5.43E-15,-4.62E-16
2.92E-16,2.22E-16,-5.22E-16,7.89E-14,5.08E-15,-4.27E-16
9.92E-17,1.74E-16,-2.45E-16,5.24E-14,3.35E-15,-2.68E-16
-1.68E-16,1.01E-16,1.42E-16,1.43E-14,8.70E-16,-4.29E-17
-5.47E-16,-1.03E-17,6.93E-16,-4.13E-14,-2.75E-15,2.84E-16
-9.61E-16,-1.32E-16,1.30E-15,-1.02E-13,-6.72E-15,6.42E-16
-1.41E-15,-2.62E-16,1.95E-15,-1.68E-13,-1.10E-14,1.03E-15
-1.96E-15,-4.28E-16,2.76E-15,-2.50E-13,-1.63E-14,1.51E-15
-2.60E-15,-6.23E-16,3.70E-15,-3.47E-13,-2.26E-14,2.08E-15
-2.56E-15,-6.03E-16,3.66E-15,-3.58E-13,-2.34E-14,2.12E-15
-1.76E-15,-3.45E-16,2.57E-15,-2.75E-13,-1.80E-14,1.58E-15
-5.65E-16,3.80E-17,9.07E-16,-1.45E-13,-9.55E-15,7.47E-16
1.25E-15,6.15E-16,-1.63E-15,6.18E-14,3.85E-15,-5.57E-16
3.22E-15,1.24E-15,-4.37E-15,2.84E-13,1.83E-14,-1.96E-15
5.31E-15,1.90E-15,-7.29E-15,5.19E-13,3.35E-14,-3.45E-15
7.97E-15,2.74E-15,-1.10E-14,8.23E-13,5.32E-14,-5.37E-15
1.11E-14,3.72E-15,-1.54E-14,1.18E-12,7.66E-14,-7.63E-15
1.16E-14,3.83E-15,-1.65E-14,1.11E-12,7.20E-14,-7.17E-15
9.28E-15,2.96E-15,-1.40E-14,5.56E-13,3.66E-14,-3.72E-15
5.47E-15,1.60E-15,-9.73E-15,-2.50E-13,-1.51E-14,1.32E-15
-6.78E-16,-5.56E-16,-2.53E-15,-1.45E-12,-9.20E-14,8.82E-15
-7.25E-15,-2.87E-15,5.11E-15,-2.74E-12,-1.75E-13,1.69E-14
-1.42E-14,-5.31E-15,1.31E-14,-4.12E-12,-2.63E-13,2.55E-14
-2.32E-14,-8.45E-15,2.37E-14,-5.85E-12,-3.74E-13,3.64E-14
-3.39E-14,-1.22E-14,3.63E-14,-7.88E-12,-5.05E-13,4.91E-14
-3.73E-14,-1.34E-14,4.08E-14,-8.81E-12,-5.64E-13,5.49E-14
-3.27E-14,-1.19E-14,3.63E-14,-8.54E-12,-5.45E-13,5.32E-14
-2.42E-14,-9.03E-15,2.75E-14,-7.70E-12,-4.90E-13,4.79E-14
-9.27E-15,-3.94E-15,1.14E-14,-5.89E-12,-3.72E-13,3.65E-14
